date_id,date_iso_format,year_number,quarter_number,month_number,day_number,month_name,day_name,week_of_the_year,week_of_the_month
20130908,2013-09-08,2013,3,9,8,September,Sunday,36,2
20130909,2013-09-09,2013,3,9,9,September,Monday,36,2
20130910,2013-09-10,2013,3,9,10,September,Tuesday,36,2
20130911,2013-09-11,2013,3,9,11,September,Wednesday,36,2
20130912,2013-09-12,2013,3,9,12,September,Thursday,36,2
20130913,2013-09-13,2013,3,9,13,September,Friday,36,2
20130914,2013-09-14,2013,3,9,14,September,Saturday,36,2
20130915,2013-09-15,2013,3,9,15,September,Sunday,37,3
20130916,2013-09-16,2013,3,9,16,September,Monday,37,3
20130917,2013-09-17,2013,3,9,17,September,Tuesday,37,3
20130918,2013-09-18,2013,3,9,18,September,Wednesday,37,3
20130919,2013-09-19,2013,3,9,19,September,Thursday,37,3
20130920,2013-09-20,2013,3,9,20,September,Friday,37,3
20130921,2013-09-21,2013,3,9,21,September,Saturday,37,3
20130922,2013-09-22,2013,3,9,22,September,Sunday,38,4
20130923,2013-09-23,2013,3,9,23,September,Monday,38,4
20130924,2013-09-24,2013,3,9,24,September,Tuesday,38,4
20130925,2013-09-25,2013,3,9,25,September,Wednesday,38,4
20130926,2013-09-26,2013,3,9,26,September,Thursday,38,4
20130927,2013-09-27,2013,3,9,27,September,Friday,38,4
20130928,2013-09-28,2013,3,9,28,September,Saturday,38,4
20130929,2013-09-29,2013,3,9,29,September,Sunday,39,5
20130930,2013-09-30,2013,3,9,30,September,Monday,39,5
20131001,2013-10-01,2013,4,10,1,October,Tuesday,39,1
20131002,2013-10-02,2013,4,10,2,October,Wednesday,39,1
20131003,2013-10-03,2013,4,10,3,October,Thursday,39,1
20131004,2013-10-04,2013,4,10,4,October,Friday,39,1
20131005,2013-10-05,2013,4,10,5,October,Saturday,39,1
20131006,2013-10-06,2013,4,10,6,October,Sunday,40,1
20131007,2013-10-07,2013,4,10,7,October,Monday,40,1
20131008,2013-10-08,2013,4,10,8,October,Tuesday,40,2
20131009,2013-10-09,2013,4,10,9,October,Wednesday,40,2
20131010,2013-10-10,2013,4,10,10,October,Thursday,40,2
20131011,2013-10-11,2013,4,10,11,October,Friday,40,2
20131012,2013-10-12,2013,4,10,12,October,Saturday,40,2
20131013,2013-10-13,2013,4,10,13,October,Sunday,41,2
20131014,2013-10-14,2013,4,10,14,October,Monday,41,2
20131015,2013-10-15,2013,4,10,15,October,Tuesday,41,3
20131016,2013-10-16,2013,4,10,16,October,Wednesday,41,3
